Timestamp, NP, AssociatedClass, TimestampAssociation, windowAssociation 
33186,NP1,,,
33186,NP2,,,
33186,NP3,5,34200,18
33186,NP4,5,34200,18
33186,NP5,,,
33186,NP6,5,34200,18
33186,NP7,,,
33186,NP8,5,34200,18
33186,NP9,,,
33186,NP10,5,34200,18
33186,NP11,5,34200,18
33186,NP12,5,34200,18
33186,NP13,5,34200,18
33186,NP14,5,34200,18
33186,NP15,5,34200,18
33186,NP16,,,
33186,NP17,5,66600,36
33186,NP18,5,34200,18
33186,NP19,5,39600,21
33186,NP20,5,34200,18
33186,NP21,5,34200,18
33186,NP22,5,34200,18
33186,NP23,5,34200,18
33186,NP24,,,
33186,NP25,5,34200,18
33186,NP26,5,34200,18
33186,NP27,5,34200,18
33186,NP28,,,
73774,NP29,6,73800,40
73774,NP30,6,73800,40
73774,NP31,6,73800,40
73774,NP32,5,73800,40
73774,NP33,6,73800,40
73774,NP34,6,73800,40
73774,NP35,6,73800,40
73774,NP36,5,73800,40
73774,NP37,6,73800,40
73774,NP38,,,
73774,NP39,,,
73774,NP40,6,73800,40
73774,NP41,5,73800,40
73774,NP42,,,
73774,NP43,,,
73774,NP44,6,75600,41
73774,NP45,,,
73774,NP46,6,73800,40
73774,NP47,6,73800,40
73774,NP48,5,75600,41
